GenomeID	Length	Accession	TaxaID	superkingdom	phylum	class	order	family	genus	species
ARCH88	1580347	NC_014205.1	591019	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Staphylothermus	Staphylothermus hellenicus
ARCH89	1570485	NC_009033.1	399550	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Staphylothermus	Staphylothermus marinus
ARCH9	2077567	NC_009954.1	397948	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Caldivirga	Caldivirga maquilingensis
ARCH90	2225959	NC_007181.1	330779	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus acidocaldarius
ARCH91	7830	NC_004853.1	43080	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus islandicus
ARCH92	2748647	NC_013769.1	425944	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus islandicus
ARCH93	2736272	NC_012589.1	429572	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus islandicus
ARCH94	2608832	NC_012588.1	427317	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus islandicus
ARCH95	2692402	NC_012632.1	427318	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus islandicus
ARCH96	2586647	NC_012726.1	426118	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus islandicus
ARCH97	26200	NC_006423.1	43080	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus islandicus
ARCH98	26476	NC_006424.1	43080	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus islandicus
ARCH99	35422	NC_006425.1	43080	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus islandicus
BACT1	5486145	NC_014248.1	551115	Bacteria	Cyanobacteria	<not present>	Nostocales	Nostocaceae	Trichormus	Trichormus azollae
BACT10	2158157	NC_013124.1	525909	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Acidimicrobium	Acidimicrobium ferrooxidans
BACT100	5684345	NZ_ACLV01000069.1	526967	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
BACT1000	3530383	NC_013222.1	313596	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Robiginitalea	Robiginitalea biformata
BACT1001	4380675	NZ_ABYJ02000027.1	536231	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia intestinalis
BACT1002	4048462	NZ_ACFY01000111.1	622312	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia inulinivorans
BACT1003	5723298	NC_009767.1	383372	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	Roseiflexus	Roseiflexus castenholzii
BACT1004	5801598	NC_009523.1	357808	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	Roseiflexus	Roseiflexus sp. RS-1
BACT1005	4133097	NC_008209.1	375451	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Roseobacter	Roseobacter denitrificans
BACT1006	4678915	NZ_ABIG01000008.1	391595	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Roseobacter	Roseobacter litoralis
BACT1007	4178704	NZ_ABCR01000016.1	351016	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Roseobacter	Roseobacter sp. AzwK-3b
BACT1008	3497325	NZ_AAYB01000003.1	391593	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Roseobacter	Roseobacter sp. CCS2
BACT1009	4514062	ABXS01000062.1	391589	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Roseobacter	Roseobacter sp. GAI101
BACT101	5561255	NZ_ACMF01000007.1	526979	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
BACT1010	4652716	NZ_AANB01000002.1	314262	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Roseobacter	Roseobacter sp. MED193
BACT1011	4555826	NZ_AAYC01000010.1	388739	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Roseobacter	Roseobacter sp. SK209-2-6
BACT1012	3668667	NZ_AALY01000008.1	89187	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Roseovarius	Roseovarius nubinhibens
BACT1013	4762632	NZ_AAMV01000011.1	314264	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Roseovarius	Roseovarius sp. 217
BACT1014	5425920	NZ_AATQ01000005.1	314265	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Salipiger	Salipiger bermudensis
BACT1015	4209812	NZ_ABCL01000014.1	391613	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Roseovarius	Roseovarius sp. TM1035
BACT1016	2255158	NZ_ACVO01000018.1	553201	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Rothia	Rothia mucilaginosa
BACT1017	3225748	NC_008148.1	266117	Bacteria	Actinobacteria	Rubrobacteria	Rubrobacterales	Rubrobacteraceae	Rubrobacter	Rubrobacter xylanophilus
BACT1018	4601053	NC_003911.11	246200	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ruegeria	Ruegeria pomeroyi
BACT1019	3819029	ABXM01000003.1	439497	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ruegeria	Ruegeria sp. R11
BACT102	5908750	NZ_ABDA02000004.1	405533	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
BACT1020	4573608	NZ_ACOK01000045.1	641112	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	Ruminococcus flavefaciens
BACT1021	3501911	NZ_AAYG02000029.1	411470	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Ruminococcus gnavus
BACT1022	2729735	NZ_ABOU02000002.1	471875	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	Ruminococcus lactaris
BACT1023	3624708	NZ_AAVO02000031.1	411459	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia obeum
BACT1024	3801051	ACII01000130.1	457412	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	Ruminococcus sp. 5_1_39BFAA
BACT1025	2739406	NZ_AAVP02000049.1	411460	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Ruminococcus torques
BACT1026	4308349	NC_013159.1	471857	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Saccharomonospora	Saccharomonospora viridis
BACT1027	5057531	NC_007912.1	203122	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Saccharophagus	Saccharophagus degradans
BACT1028	5262893	NZ_AAYA01000029.1	388399	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Sagittula	Sagittula stellata
BACT1029	3587328	NC_007677.1	309807	Bacteria	Bacteroidetes	<not present>	Bacteroidetes Order II. Incertae sedis	Rhodothermaceae	Salinibacter	Salinibacter ruber
BACT103	5620004	NZ_ACMR01000087.1	526992	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
BACT1030	5786361	NC_009953.1	391037	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Salinispora	Salinispora arenicola
BACT1031	5183331	NC_009380.1	369723	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Salinispora	Salinispora tropica
BACT1032	4600800	NC_010067.1	41514	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
